SAMPLE_ID	mutations	structural_variants
aml_ohsu_2018_16-01093	WXS	WXS
aml_ohsu_2018_16-01094	WXS	WXS
aml_ohsu_2018_16-01097	WXS	WXS
aml_ohsu_2018_16-01098	WXS	WXS
aml_ohsu_2018_16-01100	WXS	WXS
aml_ohsu_2018_16-01102	WXS	WXS
aml_ohsu_2018_16-01103	WXS	WXS
aml_ohsu_2018_16-01109	WXS	WXS
aml_ohsu_2018_16-01118	WXS	WXS
aml_ohsu_2018_16-01121	WXS	WXS
aml_ohsu_2018_16-01123	WXS	WXS
aml_ohsu_2018_16-01127	WXS	WXS
aml_ohsu_2018_16-01138	WXS	WXS
aml_ohsu_2018_16-01139	WXS	WXS
aml_ohsu_2018_16-01142	WXS	WXS
aml_ohsu_2018_16-01151	WXS	WXS
aml_ohsu_2018_16-01185	WXS	WXS
aml_ohsu_2018_16-01191	WXS	WXS
aml_ohsu_2018_16-01192	WXS	WXS
aml_ohsu_2018_16-01201	WXS	WXS
aml_ohsu_2018_16-01210	WXS	WXS
aml_ohsu_2018_16-01216	WXS	WXS
aml_ohsu_2018_16-01219	WXS	WXS
aml_ohsu_2018_16-01223	WXS	WXS
aml_ohsu_2018_16-01225	WXS	WXS
aml_ohsu_2018_16-01227	WXS	WXS
aml_ohsu_2018_16-01237	WXS	WXS
aml_ohsu_2018_16-01254	WXS	WXS
aml_ohsu_2018_16-01262	WXS	WXS
aml_ohsu_2018_16-01267	WXS	WXS
aml_ohsu_2018_16-01270	WXS	WXS
aml_ohsu_2018_16-01272	WXS	WXS
aml_ohsu_2018_17-00021	WXS	WXS
aml_ohsu_2018_17-00025	WXS	WXS
aml_ohsu_2018_17-00029	WXS	WXS
aml_ohsu_2018_17-00033	WXS	WXS
aml_ohsu_2018_17-00059	WXS	WXS
aml_ohsu_2018_17-00064	WXS	WXS
aml_ohsu_2018_17-00072	WXS	WXS
aml_ohsu_2018_17-00077	WXS	WXS
aml_ohsu_2018_17-00093	WXS	WXS
aml_ohsu_2018_17-00094	WXS	WXS
aml_ohsu_2018_17-00096	WXS	WXS
