SAMPLE_ID	mutations	structural_variants
aml_ohsu_2018_14-00096	WXS	WXS
aml_ohsu_2018_14-00111	WXS	WXS
aml_ohsu_2018_14-00113	WXS	WXS
aml_ohsu_2018_14-00126	WXS	WXS
aml_ohsu_2018_14-00127	WXS	WXS
aml_ohsu_2018_14-00134	WXS	WXS
aml_ohsu_2018_14-00135	WXS	WXS
aml_ohsu_2018_14-00141	WXS	WXS
aml_ohsu_2018_14-00150	WXS	WXS
aml_ohsu_2018_14-00152	WXS	WXS
aml_ohsu_2018_14-00171	WXS	WXS
aml_ohsu_2018_14-00173	WXS	WXS
aml_ohsu_2018_14-00175	WXS	WXS
aml_ohsu_2018_14-00180	WXS	WXS
aml_ohsu_2018_14-00184	WXS	WXS
aml_ohsu_2018_14-00193	WXS	WXS
aml_ohsu_2018_14-00212	WXS	WXS
aml_ohsu_2018_14-00228	WXS	WXS
aml_ohsu_2018_14-00240	WXS	WXS
aml_ohsu_2018_14-00242	WXS	WXS
aml_ohsu_2018_14-00244	WXS	WXS
aml_ohsu_2018_14-00245	WXS	WXS
aml_ohsu_2018_14-00253	WXS	WXS
aml_ohsu_2018_14-00259	WXS	WXS
aml_ohsu_2018_14-00268	WXS	WXS
aml_ohsu_2018_14-00270	WXS	WXS
aml_ohsu_2018_14-00272	WXS	WXS
aml_ohsu_2018_14-00273	WXS	WXS
aml_ohsu_2018_14-00279	WXS	WXS
aml_ohsu_2018_14-00289	WXS	WXS
aml_ohsu_2018_14-00311	WXS	WXS
aml_ohsu_2018_14-00329	WXS	WXS
aml_ohsu_2018_14-00331	WXS	WXS
aml_ohsu_2018_14-00334	WXS	WXS
aml_ohsu_2018_14-00335	WXS	WXS
aml_ohsu_2018_14-00355	WXS	WXS
aml_ohsu_2018_14-00359	WXS	WXS
aml_ohsu_2018_14-00369	WXS	WXS
aml_ohsu_2018_14-00376	WXS	WXS
aml_ohsu_2018_14-00380	WXS	WXS
aml_ohsu_2018_14-00395	WXS	WXS
aml_ohsu_2018_14-00401	WXS	WXS
aml_ohsu_2018_14-00404	WXS	WXS
aml_ohsu_2018_14-00423	WXS	WXS
aml_ohsu_2018_14-00425	WXS	WXS
aml_ohsu_2018_14-00430	WXS	WXS
aml_ohsu_2018_14-00434	WXS	WXS
aml_ohsu_2018_14-00448	WXS	WXS
aml_ohsu_2018_14-00449	WXS	WXS
aml_ohsu_2018_14-00451	WXS	WXS
aml_ohsu_2018_14-00454	WXS	WXS
aml_ohsu_2018_14-00458	WXS	WXS
aml_ohsu_2018_14-00464	WXS	WXS
aml_ohsu_2018_14-00473	WXS	WXS
aml_ohsu_2018_14-00476	WXS	WXS
aml_ohsu_2018_14-00477	WXS	WXS
aml_ohsu_2018_14-00484	WXS	WXS
aml_ohsu_2018_14-00487	WXS	WXS
aml_ohsu_2018_14-00488	WXS	WXS
aml_ohsu_2018_14-00495	WXS	WXS
aml_ohsu_2018_14-00496	WXS	WXS
aml_ohsu_2018_14-00498	WXS	WXS
aml_ohsu_2018_14-00499	WXS	WXS
aml_ohsu_2018_14-00502	WXS	WXS
aml_ohsu_2018_14-00504	WXS	WXS
aml_ohsu_2018_14-00514	WXS	WXS
aml_ohsu_2018_14-00521	WXS	WXS
aml_ohsu_2018_14-00527	WXS	WXS
aml_ohsu_2018_14-00536	WXS	WXS
aml_ohsu_2018_14-00537	WXS	WXS
aml_ohsu_2018_14-00542	WXS	WXS
aml_ohsu_2018_14-00543	WXS	WXS
aml_ohsu_2018_14-00555	WXS	WXS
aml_ohsu_2018_14-00559	WXS	WXS
aml_ohsu_2018_14-00564	WXS	WXS
aml_ohsu_2018_14-00567	WXS	WXS
aml_ohsu_2018_14-00573	WXS	WXS
aml_ohsu_2018_14-00578	WXS	WXS
aml_ohsu_2018_14-00581	WXS	WXS
aml_ohsu_2018_14-00588	WXS	WXS
aml_ohsu_2018_14-00597	WXS	WXS
aml_ohsu_2018_14-00599	WXS	WXS
aml_ohsu_2018_14-00602	WXS	WXS
aml_ohsu_2018_14-00603	WXS	WXS
aml_ohsu_2018_14-00608	WXS	WXS
aml_ohsu_2018_14-00613	WXS	WXS
aml_ohsu_2018_14-00618	WXS	WXS
aml_ohsu_2018_14-00632	WXS	WXS
aml_ohsu_2018_14-00639	WXS	WXS
aml_ohsu_2018_14-00643	WXS	WXS
aml_ohsu_2018_14-00658	WXS	WXS
aml_ohsu_2018_14-00664	WXS	WXS
aml_ohsu_2018_14-00667	WXS	WXS
aml_ohsu_2018_14-00670	WXS	WXS
aml_ohsu_2018_14-00672	WXS	WXS
aml_ohsu_2018_14-00676	WXS	WXS
aml_ohsu_2018_14-00681	WXS	WXS
aml_ohsu_2018_14-00690	WXS	WXS
aml_ohsu_2018_14-00712	WXS	WXS
aml_ohsu_2018_14-00715	WXS	WXS
aml_ohsu_2018_14-00720	WXS	WXS
aml_ohsu_2018_14-00725	WXS	WXS
aml_ohsu_2018_14-00730	WXS	WXS
aml_ohsu_2018_14-00735	WXS	WXS
aml_ohsu_2018_14-00738	WXS	WXS
aml_ohsu_2018_14-00739	WXS	WXS
aml_ohsu_2018_14-00742	WXS	WXS
aml_ohsu_2018_14-00756	WXS	WXS
aml_ohsu_2018_14-00761	WXS	WXS
aml_ohsu_2018_14-00774	WXS	WXS
aml_ohsu_2018_14-00777	WXS	WXS
aml_ohsu_2018_14-00780	WXS	WXS
aml_ohsu_2018_14-00781	WXS	WXS
aml_ohsu_2018_14-00787	WXS	WXS
aml_ohsu_2018_14-00793	WXS	WXS
aml_ohsu_2018_14-00798	WXS	WXS
aml_ohsu_2018_14-00800	WXS	WXS
aml_ohsu_2018_14-00801	WXS	WXS
aml_ohsu_2018_14-00803	WXS	WXS
aml_ohsu_2018_14-00831	WXS	WXS
aml_ohsu_2018_14-00832	WXS	WXS
aml_ohsu_2018_14-00901	WXS	WXS
aml_ohsu_2018_15-00009	WXS	WXS
aml_ohsu_2018_15-00014	WXS	WXS
aml_ohsu_2018_15-00018	WXS	WXS
aml_ohsu_2018_15-00024	WXS	WXS
aml_ohsu_2018_15-00029	WXS	WXS
aml_ohsu_2018_15-00043	WXS	WXS
aml_ohsu_2018_15-00045	WXS	WXS
aml_ohsu_2018_15-00051	WXS	WXS
aml_ohsu_2018_15-00053	WXS	WXS
aml_ohsu_2018_15-00056	WXS	WXS
aml_ohsu_2018_15-00057	WXS	WXS
aml_ohsu_2018_15-00071	WXS	WXS
aml_ohsu_2018_15-00073	WXS	WXS
aml_ohsu_2018_15-00075	WXS	WXS
aml_ohsu_2018_15-00081	WXS	WXS
aml_ohsu_2018_15-00084	WXS	WXS
aml_ohsu_2018_15-00123	WXS	WXS
aml_ohsu_2018_15-00129	WXS	WXS
aml_ohsu_2018_15-00140	WXS	WXS
aml_ohsu_2018_15-00143	WXS	WXS
aml_ohsu_2018_15-00147	WXS	WXS
aml_ohsu_2018_15-00148	WXS	WXS
aml_ohsu_2018_15-00150	WXS	WXS
aml_ohsu_2018_15-00159	WXS	WXS
aml_ohsu_2018_15-00167	WXS	WXS
aml_ohsu_2018_15-00169	WXS	WXS
